year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2
2009,1828.74182,2,3,2,3,5,4
2009,3250.03085,1,1,1,4,5,2
2009,4049.1499,1,2,2,2,7,2
2009,4124.8875,1,1,1,4,2,1
2009,4124.8875,1,1,1,4,2,1
2009,3551.80661,2,1,1,4,3,1
2009,7372.36398,1,1,2,1,4,1
2009,3324.34031,2,1,2,1,6,2
2009,5073.81407,2,1,2,1,3,1
2009,5073.81407,2,1,2,1,3,1
2009,5073.81407,2,1,2,1,3,1
2009,3455.68763,1,1,2,1,7,4
2009,3242.6888,2,1,1,4,6,2
2009,4644.41387,1,1,2,1,2,1
2009,4565.71211,1,1,2,1,5,1
2009,3177.45338,2,1,2,1,7,1
2009,4331.778960000001,1,1,2,1,6,2
2009,4717.8085,2,2,1,4,5,1
2009,4791.63447,2,1,2,1,2,1
2009,6062.17285,2,2,2,2,2,1
2009,6039.86406,2,2,2,2,6,4
2009,2379.9769899999997,1,1,2,1,6,1
2009,3844.0733,1,1,2,1,5,2
2009,1788.5410100000001,2,1,2,1,5,1
2009,2163.69494,2,1,2,1,5,1
2009,2163.69494,2,1,2,1,5,1
2009,2163.69494,2,1,2,1,5,1
2009,3365.3090399999996,2,1,2,1,6,5
2009,3365.3090399999996,2,1,2,1,6,5
2009,4881.436879999999,2,2,2,2,2,1
2009,4043.63365,2,2,2,2,6,4
2009,3303.6033899999998,2,1,2,1,5,2
2009,3994.03609,1,2,1,4,3,1
2009,3237.70636,2,1,2,1,6,2
2009,4303.49914,1,3,2,3,5,88
2009,3041.66698,2,1,2,1,5,1
2009,2631.26541,2,2,2,2,5,1
2009,2631.26541,2,2,2,2,5,1
2009,4679.30995,2,1,2,1,6,5
2009,3625.4626299999995,1,1,2,1,6,2
2009,3154.3291600000002,2,1,1,4,7,5
2009,3625.48015,2,2,1,4,6,2
2009,3292.72238,2,1,1,4,4,1
2009,3632.69671,2,3,2,3,7,3
2009,4356.00931,2,2,2,2,2,1
2009,2905.1897,1,2,2,2,3,1
2009,6045.60375,2,1,1,4,4,1
2009,4061.06075,1,1,2,1,1,1
2009,3357.3657299999995,2,1,2,1,6,2
2009,2788.23985,1,1,1,4,4,1
2009,2991.8243,2,1,1,4,5,4
2009,2991.8243,2,1,1,4,5,4
2009,3157.72935,1,1,2,1,7,2
2009,5160.14225,1,1,2,1,4,1
2009,4326.45105,1,1,2,1,5,1
2009,3414.06782,1,3,2,3,5,2
2009,3253.71504,1,1,2,1,6,1
2009,3112.07242,2,1,2,1,7,4
2009,3264.4172399999998,2,2,2,2,7,4
2009,3575.2432799999997,2,1,2,1,5,2
2009,4754.84913,2,1,2,1,1,1
2009,3956.4388299999996,1,1,2,1,5,2
2009,3680.12996,1,3,2,3,5,1
2009,5864.67251,2,2,2,2,3,1
2009,3612.81054,1,1,2,1,3,1
2009,4730.92391,1,1,1,4,6,1
2009,5719.1853200000005,2,1,2,1,3,1
2009,5091.71638,1,2,2,2,5,1
